Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,18:38,2,1,5,20.0%,0,3,0.0%,1,2,50.0%,0,0,0.0%,0,0,0,2,0,2,0,0,1,0,1,2,11
7,Enrico Vavassori,09:27,2,1,3,33.3%,0,2,0.0%,1,1,100.0%,0,0,0.0%,0,0,0,0,1,1,0,0,0,0,0,0,-10
8,Andrea Lucantoni,02:49,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,-2,-2,-2
11,Lorenzo Maraffio,26:10,9,4,10,40.0%,1,4,25.0%,3,6,50.0%,0,0,0.0%,1,2,3,2,3,3,0,0,1,0,7,8,7
12,Stefano Biavaschi,31:48,20,7,19,36.8%,3,11,27.3%,4,8,50.0%,3,8,37.5%,2,2,4,3,2,7,0,0,2,0,13,15,0
13,Alfredo Ratti,22:32,4,2,5,40.0%,0,0,0.0%,2,5,40.0%,0,0,0.0%,3,6,9,2,0,0,1,0,5,0,8,13,14
14,Giovanni Geronimi,15:09,8,3,4,75.0%,2,3,66.7%,1,1,100.0%,0,1,0.0%,0,3,3,0,2,0,0,0,0,0,7,7,1
19,Davide Gambetta,03:46,3,1,2,50.0%,0,0,0.0%,1,2,50.0%,1,2,50.0%,1,1,2,0,0,1,0,0,0,0,4,4,-1
20,Simone Allievi,05:45,0,0,4,0.0%,0,1,0.0%,0,3,0.0%,0,0,0.0%,1,1,2,1,0,0,0,0,0,0,-1,-1,-8
21,Federico Geronimi,20:20,6,3,12,25.0%,0,2,0.0%,3,10,30.0%,0,0,0.0%,1,5,6,2,1,2,1,0,1,0,6,7,4
22,Nicola Scaramellini,19:06,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,4,0.0%,6,2,8,0,0,2,0,0,4,0,1,5,-8
23,Mirko Donà,24:30,16,6,17,35.3%,2,5,40.0%,4,12,33.3%,2,5,40.0%,5,4,9,3,1,2,0,0,4,0,11,15,12
,Totale,,70,28,83,33.7%,8,31,25.8%,20,52,38.5%,6,20,30.0%,20,26,46,15,11,20,2,0,18,0,55,73,-
Avversari,Totale,Casa,66,,,,,,,,,,,,,,,,,,,,,,,,
